,res,temp6t410,press6t4,dew6t4,prcp6t4,wind6t4,skycover,ozone,co,pm25
158,0.0,0.054700002,29.973,44.7,0.0,1.4,0.3125,0.0225,1.070833,8.7
159,1.0,0.069800004,29.692,65.3,0.0003,2.2,0.775,0.045208,1.166667,26.3
160,0.0,0.066199996,29.964,57.4,0.0,1.8,0.9916667,0.019667,1.120833,9.886957
161,0.0,0.0707,29.743,69.6,0.030100001,1.1,0.825,0.019583,0.870833,12.0375
162,0.0,0.0687,29.987,61.9,0.0,1.8,0.35416666,0.02375,0.504167,15.6
163,0.0,0.0709,29.975,62.1,0.0,3.3,0.26666668,0.043625,1.0875,40.4
164,0.0,0.0612,29.574,55.2,0.0,6.9,0.85833335,0.018458,0.979167,15.3
165,0.0,0.032,29.603,15.7,0.0,9.7,0.54583335,0.029292,0.725,7.1
166,0.0,0.032599997,30.082,27.6,0.0,0.7,0.40833333,0.010292,0.9,4.4125
167,0.0,0.0603,29.831,49.3,0.00020000001,4.3,0.8541667,0.039667,0.604167,17.142857
168,0.0,0.038799997,30.097,33.7,0.0,0.3,0.35,0.001842,,30.158333
169,0.0,0.0596,29.951,51.6,0.0,0.9,0.76666665,0.053333,1.895833,21.9
170,0.0,0.018,29.65,14.7,0.00020000001,2.1,0.5541667,0.031458,0.575,10.554167
171,0.0,0.0707,29.841,66.8,0.0,6.1,0.8541667,0.030833,,11.626087
172,0.0,,,,,,0.4,0.043875,1.733333,26.0
173,0.0,0.0747,29.659,70.2,0.00020000001,6.5,0.925,0.013833,0.829167,8.9
174,0.0,0.0445,29.971,42.6,0.000100000005,2.5,0.9916667,0.003583,1.466667,32.4
175,0.0,0.0285,29.782,23.4,0.0,0.3,0.7125,0.00775,1.1625,27.4
176,0.0,0.0281,29.736,17.2,0.0,4.6,0.43333334,0.015333,,10.3
177,0.0,0.0718,29.793,59.9,0.0009999999,1.7,0.25833333,0.046292,1.175,27.979168
178,0.0,0.039,29.816,29.0,0.000100000005,6.7,0.4695652,0.031083,1.4625,5.0
179,0.0,0.0578,30.041,49.7,0.0,2.0,0.64166665,0.030056,0.695833,3.6
180,1.0,0.0367,29.888,27.9,0.0,4.4,0.3625,0.005958,1.2,10.333333
181,0.0,0.0414,29.947,35.2,0.0,6.2,0.55833334,0.033625,1.791667,9.2
182,0.0,,,,0.003,3.8,0.45416668,0.038708,1.158333,16.6
183,0.0,0.0419,28.915,31.4,0.0,10.1,0.76666665,0.004917,0.683333,13.6
184,0.0,0.066,29.903,56.8,0.0,5.9,0.5083333,0.024417,,7.0
185,0.0,,,,0.003,3.8,0.45416668,0.038708,1.158333,16.6
186,0.0,0.0371,29.931,24.2,0.0,2.0,0.40833333,0.033917,0.482609,7.0
187,0.0,0.0637,29.974,55.1,0.0009999999,1.1,0.37083334,0.055167,1.329167,13.0
188,0.0,0.0658,29.997,61.5,0.0009999999,1.0,0.81666666,0.046708,1.165217,10.9
189,0.0,0.0545,29.841,50.3,0.0,0.0,0.60833335,0.03225,1.225,7.5
190,0.0,0.0244,29.749,13.4,0.0009999999,4.1,0.7583333,0.011875,,6.0
191,0.0,0.0359,30.159,34.1,0.0050999997,5.8,1.0,0.003792,1.8125,5.345833
192,0.0,0.0655,29.601,61.2,0.0,3.6,0.7291667,0.019625,1.3375,36.3
193,1.0,0.0474,29.967,32.1,0.0,8.5,0.47826087,0.02,0.7375,14.7875
194,0.0,0.0342,30.129,33.8,0.0,0.0,0.5541667,0.020667,,29.7
195,0.0,0.0411,29.721,35.2,0.0,2.1,0.84583336,0.005208,1.5375,21.9
196,0.0,0.068900004,29.914,64.6,0.0009999999,5.2,0.7875,0.024042,1.295833,14.2
197,0.0,0.0274,30.347,20.9,0.0,1.1,0.28333333,0.005833,1.258333,16.3
198,0.0,0.0535,29.829,49.2,0.0003,2.1,0.95,0.035556,,15.022727
199,0.0,0.0577,29.692,51.3,0.0075,3.4,0.94166666,0.038111,1.45,8.4
200,0.0,0.064,29.7,56.8,0.0,1.0,0.44583333,0.060625,1.441667,12.275
201,0.0,0.0185,30.148,10.0,0.0,0.3,0.8208333,0.001542,1.466667,33.7
202,0.0,0.0619,29.805,54.7,0.0011,1.7,0.975,0.010667,1.85,13.4
203,0.0,0.0619,29.805,54.7,0.0011,1.7,0.975,0.010667,1.85,13.4
204,0.0,0.0166,29.635,12.1,0.0,0.8,0.8545455,0.012167,,10.4125
205,0.0,0.0742,29.647,67.9,0.0,3.0,0.8125,0.01925,1.216667,9.5
206,0.0,0.02413,29.776,6.73,0.0,10.5,0.30833334,0.025458,1.4375,4.4
207,0.0,0.0322,30.022,30.6,0.00040000002,4.0,0.85,0.010313,1.620833,14.9
208,0.0,0.0753,29.773,64.8,0.0,2.4,0.6125,0.025375,1.129167,14.570833
209,0.0,0.0677,29.571,53.4,0.0,5.6,0.9,0.032208,1.075,13.9
210,0.0,0.0378,29.745,34.2,0.0030999999,3.9,0.62916666,0.005792,0.9875,1.2
211,0.0,0.0254,29.9,13.6,0.0,3.8,0.57916665,0.009167,0.928571,12.3
212,0.0,0.051200002,29.387,50.2,0.111,3.3,0.85833335,0.002333,1.216667,7.122727
213,0.0,0.0359,29.853,27.5,0.0,1.0,0.76666665,0.004667,1.509524,24.9
214,0.0,0.0249,30.336,11.5,0.0,5.6,0.7375,0.00875,1.204167,7.704167
215,0.0,0.018,29.963,-1.7,0.0,11.1,0.35833332,0.013792,0.6875,9.0
216,0.0,0.045700002,29.391,31.9,0.0,6.3,0.47916666,0.021792,0.975,14.095833
217,0.0,0.0466,29.928,42.5,0.0009999999,1.2,0.025,0.024833,1.304167,12.2
218,0.0,0.0629,29.846,60.2,0.0,1.3,0.90416664,0.029625,,2.5
219,0.0,0.0742,30.046,56.4,0.0,4.2,0.43333334,0.055958,,19.5
220,0.0,0.07,29.885,68.4,0.0,1.2,0.75,0.013167,,21.7
221,0.0,0.036599997,29.44,34.2,0.08,5.6,0.81666666,0.025083,,17.3
222,0.0,0.042799998,29.799,36.9,0.0,5.2,0.8958333,0.022,1.35,25.6
223,0.0,0.0352,29.969,29.8,0.0009999999,2.5,0.6347826,0.007542,1.458333,8.8
224,0.0,0.05162,28.655,50.23,0.0864,10.1,0.8875,0.031917,0.554167,9.9
225,0.0,0.035099998,30.366,21.6,0.0,2.7,0.5608696,0.031708,1.541667,5.0
226,0.0,0.051200002,30.12,39.0,0.0,1.9,0.054166667,0.014417,1.229167,10.3
227,0.0,0.0305,29.93,24.3,0.0,1.6,0.8666667,0.011958,,14.4
228,0.0,,29.515,,0.009099999,3.9,0.9166667,0.009,1.166667,7.2
229,0.0,0.0487,29.859,36.8,0.0,5.2,0.4625,0.033833,1.0125,7.9
230,0.0,0.049599998,29.552,39.4,0.0,7.5,0.69166666,0.015792,,8.133333
231,0.0,0.051,29.779,46.2,0.0011,4.4,0.89166665,0.030417,,17.9
232,0.0,0.028,29.929,17.4,0.0019999999,4.4,0.87916666,0.003458,1.066667,20.5
